anno,industria_io,E,N,S
2014,711AS,5614,8840,4258
2014,713,6348,907,8479
2014,721,5549,1326,12131
2014,722,14973,1596,4726
2014,81,18102,10721,7147
2014,ORE,17924,4348,29314
2015,111CA,41148,50,8969
2015,113FF,6498,117,713
2015,211,9030,3322,125533
2015,212,6697,462,11039
2015,213,11129,859,6029
2015,22,63945,7643,82696
2015,23,43102,3452,1567
2015,311FT,22028,7228,5958
2015,313TT,1314,673,315
2015,315AL,365,647,60
2015,321,3739,298,577
2015,322,8550,2304,1442
2015,323,2289,1368,291
2015,324,10752,8978,7740
2015,325,33954,88012,8328
2015,326,8848,3306,1258
2015,327,5433,3828,1463
2015,331,6528,3011,996
2015,332,12070,4522,1689
2015,333,9761,12400,2095
2015,334,21238,79150,3975
2015,335,3446,4805,653
2015,3361MV,23680,21846,3470
2015,3364OT,6443,17487,1973
2015,337,1447,818,241
2015,339,7264,8024,995
2015,42,42297,24420,16509
2015,441,5516,1418,2731
2015,445,8088,2407,4034
2015,452,10613,4980,6012
2015,481,20272,1528,759
2015,482,10867,1332,11193
2015,483,5965,1944,291
2015,484,26474,938,750
2015,485,4787,280,109
2015,486,7378,729,15252
2015,487OS,11293,2097,1688
2015,493,1963,622,1383
2015,4A0,34029,12292,14597
2015,511,7276,57372,2547
2015,512,1873,33665,1312
2015,513,90434,47039,18369
2015,514,23699,40790,10486
2015,521CI,101267,27546,6642
2015,523,6538,13965,2766
2015,524,12137,28524,5699
2015,525,84,524,7
2015,532RL,90649,3315,1401
2015,5411,3118,2180,690
2015,5412OP,25792,60799,9807
2015,5415,6677,23653,801
2015,55,9127,19159,3175
2015,561,19844,20920,3406
2015,562,5015,327,1258
2015,61,9922,11131,16684
2015,621,30645,5412,6904
2015,622,48799,10353,23832
2015,623,3377,1022,3583
2015,624,2188,720,2591
2015,711AS,4506,9047,4851
2015,713,6968,1098,6997
2015,721,5789,1420,17705
2015,722,14352,1807,5249
2015,81,19838,12343,9081
2015,ORE,19847,5041,36901
2016,111CA,31912,49,8829
2016,113FF,8242,205,693
2016,211,2694,3177,66613
2016,212,4194,480,6432
2016,213,4386,551,5159
2016,22,64760,8892,91927
2016,23,42074,3436,2412
2016,311FT,23184,7971,6751
2016,313TT,1293,697,202
2016,315AL,371,692,47
2016,321,3723,332,754
2016,322,8531,2490,974
2016,323,2600,1544,287
2016,324,13027,9578,5447
2016,325,34261,90403,7557
2016,326,10289,3581,2106
2016,327,6394,4041,1515
2016,331,7303,3230,1137
2016,332,12517,4768,2128
2016,333,8882,12805,1895
2016,334,15681,81711,2612
2016,335,2604,4846,594
2016,3361MV,18418,24502,2663
2016,3364OT,6127,19521,2155
2016,337,1539,886,268
2016,339,7386,8426,1025
2016,42,43464,27672,18604
2016,441,6094,1666,3597
2016,445,7998,2854,5382
2016,452,9086,4824,6351
2016,481,19365,1641,1967
2016,482,8507,1165,9329
2016,483,4999,2461,152
2016,484,23115,1153,1529
2016,485,4740,260,805
2016,486,10455,889,11589
2016,487OS,7465,1637,1508
2016,493,2290,836,1656
2016,4A0,34070,13425,19298
2016,511,7062,58362,2492
2016,512,1853,34481,1004
2016,513,95671,52745,18863
2016,514,29534,53712,12010
2016,521CI,100262,32637,9262
2016,523,6603,16499,3838
2016,524,12770,31227,4180
2016,525,111,822,39
2016,532RL,82406,4110,1322
2016,5411,2809,2077,908
2016,5412OP,25361,61977,10095
2016,5415,5787,26234,1637
2016,55,9693,20081,4961
2016,561,20996,23253,4761
2016,562,5695,373,1593
2016,61,8418,10466,18661
2016,621,30246,5909,6815
2016,622,51465,11427,25153
2016,623,3594,1191,3627
2016,624,2073,755,2369
2016,711AS,5360,10001,5711
2016,713,8374,1517,12785
2016,721,5111,1415,17292
2016,722,12842,1980,6533
2016,81,19726,13647,11938
2016,ORE,23356,6658,42584
