anno,prodotto,quota_stesso_codice,industria_principale,principale_coincide
2016,485,0.798455155,485,True
2016,486,0.9448789022,486,True
2016,487OS,0.8668236742,487OS,True
2016,493,0.9442276515,493,True
2016,511,0.925869463,511,True
2016,512,0.9889367922,512,True
2016,513,0.9973125427,513,True
2016,514,0.6734395289,514,True
2016,521CI,0.971731713,521CI,True
2016,523,0.9429512408,523,True
2016,524,0.9911498476,524,True
2016,525,0.857358294,525,True
2016,HS,0.9961448621,HS,True
2016,ORE,0.9769954077,ORE,True
2016,532RL,0.7676535647,532RL,True
2016,5411,0.999602552,5411,True
2016,5415,0.7925969171,5415,True
2016,5412OP,0.6561272671,5412OP,True
2016,55,1,55,True
2016,561,0.9810425865,561,True
2016,562,0.8415536224,562,True
2016,61,0.7267027696,61,True
2016,621,0.963522289,621,True
2016,622,0.8008796107,622,True
2016,623,0.99250196,623,True
2016,624,0.9784010835,624,True
2016,711AS,0.9654977045,711AS,True
2016,713,0.6157266603,713,True
2016,721,0.8376128768,721,True
2016,722,0.8544090729,722,True
2016,81,0.811421157,81,True
2016,GFGD,1,GFGD,True
2016,GFGN,1,GFGN,True
2016,GFE,0.9905436715,GFE,True
2016,GSLG,1,GSLG,True
2016,GSLE,0.9654265718,GSLE,True
