anno,blocco,riga,colonna,valore,categoria
2013,F,81,F050,-3344,importazioni (segno negativo per convenzione)
2013,F,GFE,F050,-455,importazioni (segno negativo per convenzione)
2013,F,Used,F02S,-2146,riga o colonna speciale (Used/Other)
2013,F,Used,F02E,-104087,riga o colonna speciale (Used/Other)
2013,F,Used,F02R,-623,riga o colonna speciale (Used/Other)
2013,F,Used,F050,-15283,importazioni (segno negativo per convenzione)
2013,F,Used,F06S,-4,riga o colonna speciale (Used/Other)
2013,F,Used,F07S,-493,riga o colonna speciale (Used/Other)
2013,F,Used,F07E,-731,riga o colonna speciale (Used/Other)
2013,F,Used,F10E,-5774,riga o colonna speciale (Used/Other)
2013,F,Other,F010,-89750,riga o colonna speciale (Used/Other)
2013,F,Other,F050,-215376,importazioni (segno negativo per convenzione)
2013,VA,V002,111CA,-381,sussidi superiori alle imposte
2013,VA,V002,GFE,-7152,sussidi superiori alle imposte
2013,VA,V002,GSLE,-17421,sussidi superiori alle imposte
2013,VA,V003,GFE,-529,da esaminare
2014,U,111CA,GFGN,-233,da esaminare
2014,U,Used,111CA,-42,riga o colonna speciale (Used/Other)
2014,U,Used,481,-400,riga o colonna speciale (Used/Other)
2014,U,Used,483,-69,riga o colonna speciale (Used/Other)
2014,U,Used,484,-378,riga o colonna speciale (Used/Other)
2014,U,Used,711AS,-130,riga o colonna speciale (Used/Other)
2014,U,Used,GFGD,-41,riga o colonna speciale (Used/Other)
2014,F,111CA,F030,-1418,riduzione delle scorte
2014,F,111CA,F050,-38694,importazioni (segno negativo per convenzione)
2014,F,113FF,F050,-17954,importazioni (segno negativo per convenzione)
2014,F,211,F050,-276357,importazioni (segno negativo per convenzione)
2014,F,212,F050,-6633,importazioni (segno negativo per convenzione)
2014,F,213,F050,-1268,importazioni (segno negativo per convenzione)
2014,F,22,F050,-2985,importazioni (segno negativo per convenzione)
2014,F,321,F050,-17786,importazioni (segno negativo per convenzione)
2014,F,327,F050,-24060,importazioni (segno negativo per convenzione)
2014,F,331,F050,-88895,importazioni (segno negativo per convenzione)
2014,F,332,F050,-63793,importazioni (segno negativo per convenzione)
2014,F,333,F050,-154964,importazioni (segno negativo per convenzione)
2014,F,334,F050,-317979,importazioni (segno negativo per convenzione)
2014,F,335,F050,-90094,importazioni (segno negativo per convenzione)
2014,F,3361MV,F050,-301963,importazioni (segno negativo per convenzione)
2014,F,3364OT,F050,-58283,importazioni (segno negativo per convenzione)
2014,F,337,F050,-35377,importazioni (segno negativo per convenzione)
2014,F,339,F050,-80733,importazioni (segno negativo per convenzione)
2014,F,311FT,F050,-84059,importazioni (segno negativo per convenzione)
2014,F,313TT,F050,-30795,importazioni (segno negativo per convenzione)
2014,F,315AL,F050,-147243,importazioni (segno negativo per convenzione)
2014,F,322,F050,-23878,importazioni (segno negativo per convenzione)
2014,F,323,F050,-2442,importazioni (segno negativo per convenzione)
2014,F,324,F050,-93082,importazioni (segno negativo per convenzione)
2014,F,325,F050,-192228,importazioni (segno negativo per convenzione)
2014,F,326,F050,-49216,importazioni (segno negativo per convenzione)
2014,F,481,F050,-42524,importazioni (segno negativo per convenzione)
2014,F,511,F050,-4122,importazioni (segno negativo per convenzione)
2014,F,512,F050,-6991,importazioni (segno negativo per convenzione)
2014,F,513,F050,-170,importazioni (segno negativo per convenzione)
