caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P2|lx0.5|li0.5|T1,2,0.9695098961,1,0.801183321,0.5892557752,1.100109089,1.174184996,1.78318754,2.515569456
P1|largo|agg+ind|T3,2,0.9819042428,1,0.9169498955,0.8655617001,0.7845055974,1.030437126,1.451527849,2.29259079
P1|stretto|ind|T2,2,0.9900613538,1,0.8673913413,1.024218332,0.6731346266,0.633112863,2.328643085,2.16416172
P1|tetto110|ind|T2,2,0.9900613538,1,0.8673913413,1.024218332,0.6731346266,0.633112863,2.328643085,2.16416172
persistenza,2,1,1,1,1,1,1,1,1
P1|stretto|agg|T3,2,1.000797042,1,0.9869448522,0.7019643461,0.706350892,0.9327928629,2.948475406,2.243020957
P1|tetto110|agg|T3,2,1.000801199,1,0.9900414693,0.6952881603,0.7085826951,0.9370010787,2.937839615,2.257873657
P1|tetto110|agg+ind|T2,2,1.011580364,1,0.9176102673,1.111432543,0.6556452944,0.5581951348,2.199102235,2.119276738
P1|stretto|agg+ind|T2,2,1.01158392,1,0.9175785676,1.111378793,0.6560118946,0.558300338,2.19803107,2.119254907
P1|E6|ind|T2,2,1.012042558,1,0.9253802463,1.112670037,0.6437396804,0.6266413703,2.071137417,2.113170583
P1|E6|ind|T1,2,1.03333862,1,0.8612256362,0.8680274238,1.021132042,1.321615161,1.163139193,2.400356351
P2|lx2.0|li0.1|T1,2,1.034763073,1,0.7429231028,0.6267581523,1.370314686,1.728474851,1.488068852,2.050896632
P1|tetto100|agg|T1,2,1.047456344,1,0.8666885677,0.564609687,1.440150538,1.244148741,1.941702747,2.170734962
P1|E6|agg+ind|T2,2,1.050149403,1,0.9478475157,1.226144775,0.6823424388,0.5681301079,1.874925703,2.21847864
P1|E6|agg+ind|T1,2,1.054916572,1,0.9042295426,0.8703628977,1.129161984,1.125098071,1.131014387,2.552918322
P2|lx2.0|li0.1|T3,2,1.059505505,1,0.7435555462,0.6271081493,1.370289703,1.725583699,2.269340853,1.764460861
P1|stretto|agg|T2,2,1.060744798,1,1.145978116,1.185292281,0.3788604215,0.3034676237,2.999621839,2.105274802
P1|tetto110|agg|T2,2,1.062996621,1,1.152930591,1.18658814,0.3788604215,0.3043508673,2.986150418,2.112526188
P1|largo|ind|T2,2,1.071542088,1,1.045028309,1.25062933,0.6304215307,0.6256334569,1.745813011,2.13812987
P1|largo|agg+ind|T2,2,1.115492009,1,1.048025391,1.361024662,0.6710447025,0.5650684457,1.816121914,2.225102248
trend_mobile,2,1.155390781,1,1.250518203,1.206718512,1.220715657,0.4753143526,1.396854758,1.134049243
P1|largo|agg+ind|T1,2,1.180130462,1,1.006139844,1.035270344,1.317227782,1.196418848,1.255163796,2.437235494
P1|E6|agg|T3,2,1.189194487,1,1.108325345,0.8921412067,0.9653478697,1.073229906,3.622013465,2.151225664
P1|E6|agg|T2,2,1.193205987,1,1.31167417,1.214770811,0.5413524923,0.3090292203,3.846705901,2.075275548
P1|largo|ind|T1,2,1.194753785,1,0.9699607922,1.037348466,1.25712968,1.41211232,1.474311879,2.524164916
