anno,gruppo,chiave,valore
2008,stock_ind,621|E,114.8845998
2008,stock_ind,621|N,11.20531122
2008,stock_ind,621|S,180.4817797
2008,stock_ind,622|E,154.3339307
2008,stock_ind,622|N,14.40958218
2008,stock_ind,622|S,563.3807191
2008,stock_ind,623|E,15.47801268
2008,stock_ind,623|N,1.907816638
2008,stock_ind,623|S,56.04186247
2008,stock_ind,624|E,9.829297765
2008,stock_ind,624|N,0.729495228
2008,stock_ind,624|S,42.96429457
2008,stock_ind,711AS|E,16.15693403
2008,stock_ind,711AS|N,49.13118545
2008,stock_ind,711AS|S,79.96020868
2008,stock_ind,713|E,31.88501504
2008,stock_ind,713|N,1.180942972
2008,stock_ind,713|S,112.4522361
2008,stock_ind,721|E,40.48978045
2008,stock_ind,721|N,2.436607178
2008,stock_ind,721|S,286.967684
2008,stock_ind,722|E,75.53001904
2008,stock_ind,722|N,1.818392089
2008,stock_ind,722|S,153.9500537
2008,stock_ind,81|E,85.91079448
2008,stock_ind,81|N,23.79726195
2008,stock_ind,81|S,462.2057396
2008,stock_ind,ORE|E,59.97605992
2008,stock_ind,ORE|N,3.644363991
2008,stock_ind,ORE|S,1086.630448
2008,stock_ind,HS|R,16301.62969
2008,scorte,2,265.408063
2008,scorte,3,96.06556309
2008,scorte,5,383.0526479
2008,scorte,6,307.1900253
2008,scorte,8,336.3565863
2008,scorte,9,282.7112129
2008,scorte,11,157.5641601
2008,scorte,12,48.47551029
2008,scorte,13,89.22888704
2008,scorte,14,243.4492974
2008,scorte,15,164.164637
2008,aggregati,produzione_tot,28580.51531
2008,aggregati,consumo_tot,10742.45505
2008,aggregati,investimento_tot,2497.876908
2008,aggregati,importazioni_tot,2219.429062
2008,aggregati,scorte_tot,2373.66659
2009,produzione,111CA,409.4243147
2009,produzione,113FF,47.05169185
2009,produzione,211,292.2540595
2009,produzione,212,122.795371
2009,produzione,213,81.20639104
2009,produzione,22,436.7438523
2009,produzione,23,1159.009331
2009,produzione,321,71.84264542
2009,produzione,327,93.08596326
2009,produzione,331,204.1411412
2009,produzione,332,296.3542727
2009,produzione,333,299.5522483
2009,produzione,334,330.8844557
2009,produzione,335,109.8085341
2009,produzione,3361MV,358.3689338
2009,produzione,3364OT,260.0123858
2009,produzione,337,62.49311386
2009,produzione,339,169.1113305
2009,produzione,311FT,906.3474254
2009,produzione,313TT,51.82979868
2009,produzione,315AL,25.79161877
2009,produzione,322,173.0942317
2009,produzione,323,86.26890229
2009,produzione,324,803.9827654
2009,produzione,325,730.4558619
2009,produzione,326,187.7088916
2009,produzione,42,1227.984384
2009,produzione,441,157.1054358
2009,produzione,445,204.9360455
2009,produzione,452,226.7629318
2009,produzione,4A0,682.2639795
2009,produzione,481,174.5850825
2009,produzione,482,64.45598026
2009,produzione,483,46.47779615
2009,produzione,484,256.6458437
2009,produzione,485,50.06295381
2009,produzione,486,31.3301139
2009,produzione,487OS,178.8649156
2009,produzione,493,74.68675629
2009,produzione,511,284.9005319
2009,produzione,512,126.8246378
2009,produzione,513,666.6519513
2009,produzione,514,144.344067
2009,produzione,521CI,788.7883402
2009,produzione,523,510.529434
2009,produzione,524,672.3610913
2009,produzione,525,115.625823
2009,produzione,HS,1674.749924
2009,produzione,ORE,761.1318326
2009,produzione,532RL,261.8220431
2009,produzione,5411,309.384714
2009,produzione,5415,273.5326005
2009,produzione,5412OP,1038.291636
2009,produzione,55,411.5827153
2009,produzione,561,571.0211476
2009,produzione,562,80.23215522
2009,produzione,61,292.9650552
2009,produzione,621,811.4690575
2009,produzione,622,646.5106882
2009,produzione,623,196.8069536
2009,produzione,624,163.3259061
2009,produzione,711AS,139.0765291
2009,produzione,713,117.7887606
2009,produzione,721,192.3486219
2009,produzione,722,563.0735264
2009,produzione,81,557.2386361
2009,produzione,GFGD,679.3723181
2009,produzione,GFGN,366.6008863
2009,produzione,GFE,103.7343525
2009,produzione,GSLG,2051.877443
2009,produzione,GSLE,269.0557347
2009,consumo,111CA,76.03341406
2009,importazioni,111CA,32.40252443
2009,consumo,113FF,7.671610023
2009,importazioni,113FF,14.47320839
2009,consumo,211,0
2009,importazioni,211,267.7597764
2009,consumo,212,0.3655685881
2009,importazioni,212,6.754710504
2009,consumo,213,0
2009,importazioni,213,0.7745073509
2009,consumo,22,246.4369035
2009,importazioni,22,2.246422121
2009,consumo,23,0
2009,importazioni,23,-0
2009,consumo,321,5.495993218
2009,importazioni,321,11.05312581
2009,consumo,327,12.41396903
2009,importazioni,327,14.9676939
2009,consumo,331,1.11840189
2009,importazioni,331,64.81597316
2009,consumo,332,15.05166385
2009,importazioni,332,40.4696939
2009,consumo,333,7.743061601
2009,importazioni,333,89.47316143
2009,consumo,334,76.12432117
2009,importazioni,334,215.2265012
2009,consumo,335,37.9387651
2009,importazioni,335,58.45681089
2009,consumo,3361MV,154.8814104
2009,importazioni,3361MV,150.4199692
2009,consumo,3364OT,19.46542252
2009,importazioni,3364OT,36.3781404
2009,consumo,337,39.29009322
2009,importazioni,337,23.59477513
2009,consumo,339,92.8850417
2009,importazioni,339,69.09629461
2009,consumo,311FT,579.6168718
2009,importazioni,311FT,66.81131007
2009,consumo,313TT,24.94853828
2009,importazioni,313TT,22.77997319
2009,consumo,315AL,120.6584594
2009,importazioni,315AL,111.1814641
2009,consumo,322,24.56140656
2009,importazioni,322,20.86690012
2009,consumo,323,4.785717781
2009,importazioni,323,2.060347382
2009,consumo,324,301.5513273
2009,importazioni,324,129.7765291
2009,consumo,325,269.3938181
2009,importazioni,325,199.5349036
2009,consumo,326,35.24131123
2009,importazioni,326,33.18531571
2009,consumo,42,393.2906968
2009,importazioni,42,0
2009,consumo,441,71.35464865
2009,importazioni,441,-0
2009,consumo,445,181.8587581
2009,importazioni,445,-0
2009,consumo,452,213.823747
2009,importazioni,452,-0
2009,consumo,4A0,549.873593
2009,importazioni,4A0,-0
2009,consumo,481,106.3346025
2009,importazioni,481,37.47473928
2009,consumo,482,6.626062074
2009,importazioni,482,0
2009,consumo,483,15.75325072
2009,importazioni,483,0
2009,consumo,484,72.57336775
2009,importazioni,484,0
2009,consumo,485,32.80536791
2009,importazioni,485,-0
2009,consumo,486,2.073066025
2009,importazioni,486,-0
2009,consumo,487OS,15.02252234
2009,importazioni,487OS,0
2009,consumo,493,0.07858159731
2009,importazioni,493,-0
2009,consumo,511,64.79114602
2009,importazioni,511,3.561217187
