caso,h,gruppo,n,MAE,RMSE,WMAE,WRMSE,sMAPE,errore_tassi,segno,theil_U,rapporto_WMAE
P1|largo|agg+ind|T2,1,stock_ind,980,2.367856975,6.00910259,23.03931109,32.66166062,0.07780024415,0.1068393214,0.8142857143,0.476412562,0.3543215985
P1|largo|agg+ind|T2,1,stock_tipo,20,37.7328858,43.00926206,36.38525897,41.35648152,0.007416328594,0.007632084764,0.95,0.2581669231,0.2554197526
P1|largo|agg+ind|T3,1,aggregati,25,197.0726103,284.068128,328.4751391,398.2623209,0.03180965905,0.03188906745,0.76,0.8084118643,0.6490649973
P1|largo|agg+ind|T3,1,consumo,355,8.663757929,20.58356105,19.12086294,33.39686467,0.09470990085,0.09343134056,0.6634920635,2.207007285,1.57252725
P1|largo|agg+ind|T3,1,importazioni,355,5.881149707,18.68458279,34.22941666,52.22105138,0.1502712101,0.1370438537,0.6371681416,2.857111776,3.199240938
P1|largo|agg+ind|T3,1,investimento_ind,980,2.554546567,8.110552956,17.70366334,38.20152744,0.3665322056,0.5058924902,0.1142857143,1.724003982,1.520811841
P1|largo|agg+ind|T3,1,investimento_tipo,20,50.48336595,60.40978277,47.4648233,55.81164569,0.08307945854,0.09159216976,0.5,1.243489245,1.050957244
P1|largo|agg+ind|T3,1,produzione,355,19.26458332,36.11338635,29.83050334,46.90796288,0.06406796494,0.06088581571,0.6309859155,1.63348402,1.27070114
P1|largo|agg+ind|T3,1,scorte,55,38.41691013,44.92733152,48.05949461,53.76196195,0.1770500563,0.1780535662,0.3636363636,3.560926916,3.952912595
P1|largo|agg+ind|T3,1,stock_ind,980,2.477504095,8.35137439,37.44605849,64.48929166,0.07986518006,0.1044699093,0.8163265306,0.6621121223,0.5758829876
P1|largo|agg+ind|T3,1,stock_tipo,20,46.27029965,59.32683284,54.03768706,70.62531198,0.007144993792,0.007338494409,1,0.3561145939,0.3793374859
P1|largo|agg|T1,1,aggregati,25,296.4077907,408.8075577,417.5928272,560.5064476,0.05075578074,0.05120691465,0.6,1.163400069,0.8251610396
P1|largo|agg|T1,1,consumo,355,13.29499687,28.05042681,26.67510435,43.35804554,0.1343812186,0.1410109726,0.6698412698,3.00761837,2.193798922
P1|largo|agg|T1,1,importazioni,355,8.370592187,26.18267028,46.69948471,70.63346781,0.2033653572,0.1831069304,0.6194690265,4.003665289,4.364751663
P1|largo|agg|T1,1,investimento_ind,980,13.921258,28.11689621,39.88674295,57.97743931,1.742762231,2.470361065,0.412244898,5.976613592,3.426422534
P1|largo|agg|T1,1,investimento_tipo,20,70.37903848,83.34664287,75.58745305,87.04854341,0.1052713893,0.1140628676,0.35,1.715626994,1.673643255
P1|largo|agg|T1,1,produzione,355,25.90498124,48.83414652,40.95849856,65.77834326,0.08077812606,0.07493750513,0.6281690141,2.208870617,1.744724526
P1|largo|agg|T1,1,scorte,55,38.56907554,49.0632702,49.48203875,58.89277155,0.1720161915,0.1695112281,0.2545454545,3.888740183,4.069917418
P1|largo|agg|T1,1,stock_ind,980,13.85538565,28.15770066,48.66058904,73.91859142,0.2745426679,0.5353944825,0.3867346939,2.232393624,0.7483512689
P1|largo|agg|T1,1,stock_tipo,20,64.72559288,78.20000565,62.0315043,81.0680568,0.01173501769,0.01205875002,1,0.4694024932,0.435453036
P1|largo|agg|T2,1,aggregati,25,271.3639504,388.9126052,401.5718775,558.938516,0.04491472313,0.04561263059,0.68,1.106782258,0.7935037346
P1|largo|agg|T2,1,consumo,355,12.18322795,27.18370775,24.74602578,42.07494556,0.1220067216,0.1273365639,0.6761904762,2.914687158,2.035148727
P1|largo|agg|T2,1,importazioni,355,8.462621882,26.03118151,46.81068018,69.07069044,0.2039747087,0.1876975277,0.610619469,3.980500718,4.37514451
P1|largo|agg|T2,1,investimento_ind,980,14.60086363,30.13245681,34.87946428,52.16624427,1.762083197,2.629418522,0.3918367347,6.405047326,2.996278301
P1|largo|agg|T2,1,investimento_tipo,20,45.68735858,55.68024274,49.61540046,59.26366849,0.06762056511,0.06955114427,0.55,1.146135276,1.098574922
P1|largo|agg|T2,1,produzione,355,25.9077772,49.78403383,40.11526767,65.86860353,0.08257455342,0.07673943463,0.6338028169,2.251836007,1.708805104
P1|largo|agg|T2,1,scorte,55,35.16340039,42.19637323,43.21130843,49.62593798,0.1706116538,0.1688222763,0.2181818182,3.344471975,3.554147349
P1|largo|agg|T2,1,stock_ind,980,14.49647248,30.03386621,28.01665336,43.65157405,0.2798634817,0.4957709977,0.3724489796,2.381139435,0.4308681525
P1|largo|agg|T2,1,stock_tipo,20,39.86190453,48.71399446,29.74925218,38.42247364,0.009138462141,0.009403967814,1,0.292410087,0.2088358541
P1|largo|agg|T3,1,aggregati,25,259.1087518,380.4858347,394.5852709,554.4737293,0.0415113487,0.04217697798,0.72,1.082801035,0.7796982397
