caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P1|E6|agg|T2,5,1.092085989,1,1.355916469,1.072006074,0.8392823731,0.4175968062,2.118511521,0.9633498985
trend_mobile,5,1.098529326,1,1.173788067,0.9794021348,1.200153531,0.7885740545,1.697086951,0.9765961332
P1|tetto100|agg+ind|T3,5,1.100032044,1,1.077123783,1.164298265,1.091192412,1.062786846,1.061848936,0.9999163076
P2|inv1.0|m1.0|S1.0|T1,5,1.10137547,1,1.036122454,1.322657388,0.9738385477,1.010476476,1.123587393,0.8349358077
P2|inv1.0|m1.0|S1.0|T3,5,1.102324597,1,1.041135003,1.321302055,0.973847629,1.009031261,1.123418013,0.8349985464
P2|inv1.0|m0.0|S0.0|T3,5,1.105881119,1,1.019116213,1.231399925,1.002651277,1.023933984,1.558923038,0.9971294308
P2|inv1.0|m0.0|S0.0|T1,5,1.106892138,1,1.01587803,1.230399027,1.011768596,1.027068876,1.56183885,0.9971294376
P2|lx0.5|li0.5|T3,5,1.108897569,1,1.090036115,1.176583068,1.042863543,0.9798517183,1.454055189,0.9930234998
P2|lx0.5|li0.5|T1,5,1.109206127,1,1.085378134,1.174246565,1.04285984,1.002986855,1.455933561,0.9930277222
P1|largo|ind|T2,5,1.111026278,1,1.176335263,1.129473848,1.1186778,0.8540658442,1.240713318,0.9621146774
P1|stretto|ind|T3,5,1.114330155,1,1.077545821,1.033525806,1.248459625,1.29533938,1.044572314,0.9910837565
P2|lx2.0|li0.5|T3,5,1.114557049,1,0.9825897902,1.330857701,1.038142967,0.9916443846,1.342541749,0.9320536477
P1|tetto110|ind|T3,5,1.117105111,1,1.081080904,1.053877573,1.233522977,1.288847545,1.02903609,0.9915282707
P2|lx2.0|li0.5|T1,5,1.117266312,1,0.9815478749,1.32877468,1.038149041,1.0108772,1.378222644,0.930817705
P1|stretto|agg+ind|T1,5,1.119386109,1,1.082350431,1.038602841,1.294230013,1.174870583,1.148647611,0.986693712
P1|tetto100|ind|T3,5,1.123539027,1,1.067168798,1.126193302,1.192279213,1.267644047,1.006202995,1
P1|tetto110|agg+ind|T1,5,1.123824384,1,1.088606487,1.079290749,1.26158414,1.153076504,1.129243346,0.9873713436
P1|tetto100|agg|T3,5,1.13481266,1,1.207950051,1.139431368,0.950285604,0.9608335347,1.893085712,0.9960694865
P1|tetto100|agg+ind|T1,5,1.13599719,1,1.087524478,1.154088218,1.227906961,1.136978552,1.084709148,0.99997354
P1|largo|agg|T2,5,1.141236465,1,1.392736508,1.134007636,0.8701474121,0.4760687963,2.277851128,0.9536860716
P1|E6|agg+ind|T3,5,1.142355068,1,1.117779936,1.226259665,1.115052736,1.070989105,1.205763733,0.9749108556
P2|lx0.5|li0.1|T3,5,1.142898359,1,1.089661026,1.091396026,1.254402913,1.217103456,1.33613458,0.98367173
P1|tetto100|ind|T1,5,1.143340503,1,1.078382582,1.113643341,1.270344416,1.304794743,1.023687377,1
P1|stretto|ind|T1,5,1.14484028,1,1.090194735,1.035108468,1.340121628,1.357806302,1.072312709,0.9965745634
P1|tetto110|ind|T1,5,1.15123378,1,1.097767884,1.050866169,1.339436016,1.356805814,1.065019861,0.9964957357
P1|stretto|agg|T3,5,1.155967364,1,1.264636324,1.050297356,1.052529798,0.9618639414,2.121956997,0.9739411229
P2|lx0.5|li0.1|T1,5,1.156540878,1,1.086910047,1.087198713,1.29725074,1.284190622,1.345109072,0.98367173
P2|lx2.0|li0.1|T3,5,1.1572928,1,0.9752046312,1.240783684,1.258293228,1.309411472,1.266051982,0.9318782638
P1|tetto110|agg|T3,5,1.158765768,1,1.265150604,1.073369074,1.034971891,0.9506866804,2.128911834,0.9740245355
P2|lx2.0|li0.1|T1,5,1.168530338,1,0.9756141514,1.236976494,1.288006789,1.352734257,1.30568993,0.9318772867
P1|largo|agg+ind|T3,5,1.169559615,1,1.142257801,1.26980104,1.118871812,1.072792797,1.337721221,0.9600451842
P1|E6|ind|T3,5,1.176972801,1,1.120577898,1.192293772,1.238711949,1.291451303,1.149917727,0.9745578637
P1|E6|agg+ind|T1,5,1.186509767,1,1.124541965,1.211054939,1.298852936,1.165258218,1.215786862,0.97489888
P1|largo|ind|T3,5,1.197250374,1,1.138676992,1.226599429,1.237575017,1.29115646,1.255459439,0.9652765289
P1|E6|ind|T1,5,1.22299246,1,1.132116944,1.182558512,1.412423907,1.390120654,1.167284948,0.974574587
P1|largo|agg+ind|T1,5,1.226313372,1,1.154638926,1.265808082,1.335674715,1.181440729,1.337959214,0.960045869
P1|E6|agg|T3,5,1.239177586,1,1.305426121,1.238304146,1.088484664,1.002087904,2.198970118,0.9640855351
P1|largo|ind|T1,5,1.259712756,1,1.155440772,1.229535189,1.459022664,1.412382879,1.256024973,0.9675179752
P1|stretto|agg|T1,5,1.270650779,1,1.243836871,0.951347582,1.62951258,1.309605974,2.116023899,0.9886226984
P1|tetto110|agg|T1,5,1.272962671,1,1.249027663,0.9666656136,1.609328594,1.304972118,2.127927332,0.9899078203
P1|largo|agg|T3,5,1.279093158,1,1.341210511,1.286789173,1.129909847,1.056674343,2.22423527,0.9566417203
P2|uniformi|li0.5|T1,5,1.281579591,1,1.186744481,1.69023852,1.040043997,1.020749614,1.190439487,0.977579105
ultimo_tasso,5,1.310780081,1,1.481662741,1.108747433,1.436282232,0.5490684058,2.687004646,1.142870198
P1|tetto100|agg|T1,5,1.318304014,1,1.273570927,1.120705751,1.526629975,1.273008334,2.357487095,0.9903965511
P3|q75,5,1.333127751,1,1.293317761,1.235301675,1.471347805,1.277248269,2.097475145,0.953475502
P1|E6|agg|T1,5,1.362775619,1,1.299252438,1.229894601,1.608270146,1.320911815,2.037226193,0.9684997472
P3|q25,5,1.383972445,1,1.311969999,1.242518089,1.649318216,1.353162392,2.074858421,0.9740643053
P1|largo|agg|T1,5,1.404846965,1,1.329221202,1.33189649,1.605789855,1.32093628,2.10620249,0.9589986769
P1|stretto|nessuna|T1,5,1.491440003,1,1.437179355,1.011253348,1.990514796,1.780387676,2.647533925,0.9678353877
P1|tetto110|nessuna|T1,5,1.498585321,1,1.438018983,1.029422907,1.999839027,1.772325825,2.654388714,0.9686586083
P1|tetto100|nessuna|T1,5,1.538971142,1,1.386182057,1.175712609,2.038796834,1.793294079,2.733488062,0.9327912847
P1|E6|nessuna|T1,5,1.568645636,1,1.463708634,1.288768794,1.949828894,1.743945058,2.601823779,0.9690186715
P1|largo|nessuna|T1,5,1.588037619,1,1.479369768,1.340861146,1.959031486,1.774922161,2.491513823,0.9618828052
P1|largo|nessuna|T3,5,1.858507818,1,1.557649736,1.26525101,3.143890718,1.850033181,3.010330525,0.9467921344
P1|stretto|nessuna|T3,5,1.86533589,1,1.542192887,1.099594798,3.387415959,1.888998375,3.195277812,0.9330532834
P1|tetto110|nessuna|T3,5,1.874578648,1,1.540762714,1.118612841,3.408863642,1.891255684,3.181359351,0.9359943481
P1|E6|nessuna|T3,5,1.874744503,1,1.559303742,1.240415611,3.233912103,1.84347876,3.137679827,0.9362881841
P1|tetto100|nessuna|T3,5,1.907285668,1,1.517193192,1.176476792,3.451339684,1.964767271,3.324946462,0.9238537086
P1|largo|nessuna|T2,5,1.975478239,1,1.683746342,1.223060408,3.738984385,1.521467936,3.123147191,0.9467036788
P1|E6|nessuna|T2,5,1.98175053,1,1.677825647,1.194233189,3.788636143,1.549408681,3.212191375,0.9371042706
P1|stretto|nessuna|T2,5,2.010934537,1,1.669215267,1.160648076,3.930656675,1.643220757,3.293562176,0.93688029
P1|tetto110|nessuna|T2,5,2.012844534,1,1.667015288,1.171107613,3.932788714,1.649333635,3.259181418,0.9391497263
P1|tetto100|nessuna|T2,5,2.019957935,1,1.657388913,1.162844055,3.942625211,1.709240773,3.360452722,0.9283257925
