industria_io,anno,K_cap,K_somma,x_reale,kappa,u_implicito,serie_g17,u,metodo_g17,crescita_Kcap,crescita_cap_g17,scarto_u
3361MV,2016,238858.1707,237549.4943,607153.2051,0.2694634838,0.6849488018,G3361T3,0.8044515833,fisico,1.220387357,1.090903481,-0.1195027815
3364OT,2012,157629.4619,157629.4619,290815,0.4206444755,0.77605875,G3364T9,0.77605875,indagine+capitale,1,1,0
3364OT,2013,154747.7222,155440,299079.3759,0.4206444755,0.8129753733,G3364T9,0.78341975,indagine+capitale,0.9817182672,1.019865676,0.02955562331
3364OT,2014,156202.2715,156738.6355,311534.9482,0.4206444755,0.838947178,G3364T9,0.8309636667,indagine+capitale,0.9909459163,0.9973869571,0.00798351136
3364OT,2015,157011.9051,157533.0784,312476.085,0.4206444755,0.8371425007,G3364T9,0.8414883333,indagine+capitale,0.9960822251,0.9854051138,-0.004345832625
3364OT,2016,159289.8322,159573.6897,288304.3838,0.4206444755,0.7613395319,G3364T9,0.78451625,indagine+capitale,1.010533376,0.9844151356,-0.02317671812
337,2012,21863.91076,21863.91076,65729,0.2337791454,0.7028051667,G337,0.7028051667,indagine+capitale,1,1,0
337,2013,21924.27671,21738,66598.06607,0.2337791454,0.7101369488,G337,0.734901,indagine+capitale,1.002760986,0.9635684237,-0.02476405121
337,2014,21887.05211,21592.30241,67442.60484,0.2337791454,0.7203653759,G337,0.77577025,indagine+capitale,1.001058427,0.917659008,-0.05540487407
337,2015,21816.62647,21461.85238,71616.70546,0.2337791454,0.7674189323,G337,0.8364269167,indagine+capitale,0.9978373364,0.8928346222,-0.06900798432
337,2016,22271.31972,21711.31349,72178.26789,0.2337791454,0.7576458868,G337,0.8415833333,indagine+capitale,1.018633856,0.8894988038,-0.08393744649
339,2012,93737.8663,93737.8663,156592,0.4450061915,0.7433965833,G339,0.7433965833,indagine+capitale,1,1,0
339,2013,96000.12438,95585,165954.0944,0.4450061915,0.7692760814,G339,0.7658141667,indagine+capitale,1.024133876,1.001629039,0.003461914691
339,2014,98247.12874,97419.93795,160476.4343,0.4450061915,0.7268711846,G339,0.7612510833,indagine+capitale,1.048105025,0.976856756,-0.03437989876
339,2015,100713.3311,99550.75052,162209.9672,0.4450061915,0.7167317267,G339,0.78579975,indagine+capitale,1.074414589,0.9502061084,-0.06906802333
339,2016,104133.6229,102584.484,153122.97,0.4450061915,0.654358005,G339,0.8029093333,indagine+capitale,1.110902424,0.9322899279,-0.1485513283
