industria_io,tipo,gruppo,K_inizio_2012,delta,r_usato,costo_uso,w
5415,E,5415,26430.76569,0.2822468365,0.1665650109,0.4488118474,0.9878007705
5415,N,5415,42749.17061,0.4477513768,0.1665650109,0.6143163878,1.352063687
5415,S,5415,25503.81458,0.0254079639,0.1665650109,0.1919729748,0.4225179294
55,E,55,43925.72316,0.1650058207,0.01928328654,0.1842891072,1.647318565
55,N,55,44860.30756,0.443599277,0.01928328654,0.4628825636,4.137602335
55,S,55,282208.8194,0.02552010959,0.01928328654,0.04480339613,0.4004874045
561,E,561,75726.34786,0.1833047597,0.2800727896,0.4633775493,1.00339583
561,N,561,29393.3864,0.4796657251,0.2800727896,0.7597385146,1.64513464
561,S,561,56570.37519,0.02483632105,0.2800727896,0.3049091106,0.6602489282
562,E,562,26022.56444,0.1502157871,0.1029811584,0.2531969455,1.557128449
562,N,562,850.0440075,0.3364531689,0.1029811584,0.4394343273,2.702464246
562,S,562,71242.42695,0.02323053931,0.1029811584,0.1262116977,0.7761856078
61,E,61,46843.17551,0.1781262673,0.03907433419,0.2172006015,2.470932163
61,N,61,24203.99241,0.3184185431,0.03907433419,0.3574928773,4.066934634
61,S,61,430304.9448,0.01958843397,0.03907433419,0.05866276817,0.6673633483
621,E,621,130430.8934,0.1777262994,0.1779474371,0.3556737365,1.298107785
621,N,621,11850.24694,0.3211747417,0.1779474371,0.4991221788,1.821653722
621,S,621,182623.7919,0.02310213776,0.1779474371,0.2010495749,0.7337736571
622,E,622HO,184233.821,0.1717871335,0.02566226992,0.1974494034,2.25682017
622,N,622HO,18020.41754,0.3742421608,0.02566226992,0.3999044307,4.570853949
622,S,622HO,608189.9699,0.01926207366,0.02566226992,0.04492434359,0.5134792153
623,E,622HO,17938.00704,0.151689092,0.02566226992,0.1773513619,2.149559133
623,N,622HO,2109.645159,0.2777718316,0.02566226992,0.3034341015,3.677725039
623,S,622HO,61790.85904,0.02176697364,0.02566226992,0.04742924357,0.5748586456
624,E,624,10798.84626,0.1792784112,0.02808237702,0.2073607883,2.28802621
624,N,624,996.9905765,0.4914790686,0.02808237702,0.5195614457,5.732859213
624,S,624,44146.72098,0.02430531591,0.02808237702,0.05238769294,0.5780476412
711AS,E,711AS,18234.95259,0.1581578009,0.05237293959,0.2105307405,1.47783199
711AS,N,711AS,48156.62244,0.1760713184,0.05237293959,0.2284442579,1.603576901
711AS,S,711AS,83953.24162,0.02597874672,0.05237293959,0.07835168631,0.5499939262
713,E,713,31528.98862,0.1602969274,0.05231886622,0.2126157936,1.909272722
713,N,713,1188.472624,0.3735887482,0.05231886622,0.4259076144,3.824616114
713,S,713,119770.5527,0.02926428844,0.05231886622,0.08158315467,0.7326101657
721,E,721,36160.9432,0.1504385538,0.08106480784,0.2315033617,1.859071735
721,N,721,2384.141448,0.3577807855,0.08106480784,0.4388455934,3.524119187
721,S,721,299271.0495,0.02803144512,0.08106480784,0.109096253,0.8760899143
722,E,722,73503.93591,0.1534067511,0.1991109649,0.3525177159,1.307440615
722,N,722,1765.890399,0.3646885449,0.1991109649,0.5637995098,2.091056264
722,S,722,150574.0896,0.02659820166,0.1991109649,0.2257091665,0.8371248258
81,E,81,86450.73048,0.1587146797,0.03050212493,0.1892168047,2.287546641
81,N,81,26782.92288,0.2459402967,0.03050212493,0.2764424216,3.342065385
81,S,81,464332.665,0.02121108581,0.03050212493,0.05171321074,0.6251896165
ORE,E,531,62713.481,0.16723677,0.08211663862,0.2493534086,2.116479675
ORE,N,531,3754.532699,0.5718421365,0.08211663862,0.6539587751,5.550718008
ORE,S,531,1075119.626,0.02615336872,0.08211663862,0.1082700073,0.9189819027
HS,R,531,16320951.31,0.02301618288,0.08211663862,0.1051328215,1
