anno,prodotto,rho,peso,classe
2016,324,1.2,0.02443234048,"=1,2"
2016,325,1.2,0.02246399708,"=1,2"
2016,326,1.2,0.002844757619,"=1,2"
2016,42,1.2,0.04226836755,"=1,2"
2016,441,1,0.02081303485,=1
2016,445,1,0.01595914107,=1
2016,452,1,0.01745464954,=1
2016,4A0,1.028536656,0.0615287213,"1-1,2"
2016,481,1.2,0.01039946725,"=1,2"
2016,482,1.2,0.0006245040202,"=1,2"
2016,483,1.2,0.001728804428,"=1,2"
2016,484,1.2,0.006267414825,"=1,2"
2016,485,1.2,0.003301576608,"=1,2"
2016,486,1.2,0.0002196007967,"=1,2"
2016,487OS,1.2,0.001422670493,"=1,2"
2016,493,1.2,1.87796029e-05,"=1,2"
2016,511,1.2,0.00706699726,"=1,2"
2016,512,1.2,0.002063850751,"=1,2"
2016,513,1.2,0.02938879547,"=1,2"
2016,514,1.2,0.003234643786,"=1,2"
2016,521CI,1.2,0.01660926221,"=1,2"
2016,523,1.2,0.01515412147,"=1,2"
2016,524,1.2,0.02784185483,"=1,2"
2016,525,1.2,0.0116062831,"=1,2"
2016,HS,1.015090896,0.1428259046,"1-1,2"
2016,ORE,1.2,0.0004420631442,"=1,2"
2016,532RL,1.2,0.00758402689,"=1,2"
2016,5411,1.2,0.007076521351,"=1,2"
2016,5412OP,1.2,0.005432417049,"=1,2"
2016,561,1,0.004609954391,=1
2016,562,1.2,0.00194524835,"=1,2"
2016,61,1.2,0.02631539921,"=1,2"
2016,621,1.2,0.08038012792,"=1,2"
2016,622,1.2,0.07738077051,"=1,2"
2016,623,1,0.01819418153,=1
2016,624,1,0.01593498183,=1
2016,711AS,1.2,0.005904717096,"=1,2"
2016,713,1,0.01510645847,=1
2016,721,1.2,0.01162377587,"=1,2"
2016,722,1,0.05179746589,=1
2016,81,1,0.04559755244,=1
2016,GFE,1.2,0.0006026731639,"=1,2"
2016,GSLE,1.2,0.005284395861,"=1,2"
