,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
484,0,0,0,0,0,0,234.8548679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312512.455,0,0,10721.37143,5016.948571,0,0,0,0,0,0,0,0,0,0,306.2869761,0,74.7023622,83.52035606,0,0,3298.029424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,7.426240881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.853790299,0,0,0,4.748688124,0,0,0,0,63588.4331,0,32.04911452,0,0,0,0,0,0,0,0,0,0,2.82120095,0,0,1.037532808,10.56004502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,133.9885721,61.26648727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40932.72389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.12598425,16.32006958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,0,0,0,0,0,0,220.9306662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.86687481,0,9.074932547,0,0,106.6440691,0,856.0058741,960.2588864,393.748206,0,201840.6102,1262.715088,0,0,0,0,0,0,33.54212506,0,0,0,31.51505863,0,223.0695538,2590.091042,0,33.34899155,0,0,0,0,0,0,0,0,0,52.80845363,836.1151821,0,0,0,0,0,0,0
493,0,0,0,0,0,0,35.27464419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797.4195069,0,0,867.2113341,109930.0206,0,0,0,0,0,0,0,0,0,0,2.954536747,0,111.0160105,138.2405893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,7.426240881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630.728157,0,0,0,4547.472552,0,0,0,1049.460075,0,0,0,0,0,0,0,0,237156.9062,0,0,21780.9651,0,0,0,0,0,0,0,0,10562.08399,51693.34038,0,403.9992119,0.9540148754,2452.713598,0,0,0,0,0,0,0,0,0.9426326743,0,0,0,0,0,0,0
512,0,0,0,0,0,0,82.6169298,0,0,0,0,0,7.308228297,0,0,0,0,0,0,0,0,0,0,0,0,0,5.780685448,0,0,0,440.6782579,0,0,0,0,0,0,0,0,0,142754.5292,0,0,0,0,0,0,0,117.5500396,94.54517589,0,290.5091864,1360.325799,0,0,0,0,0,0,0,0,0,61.38709977,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,0,1650.482036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801.646965,0,0,0,5409.70551,0,0,0,0,0,0,0,0,0,1019.270334,717706.0454,7.013512845,0,0,0,0,0,0,10257.16674,0,1932.923622,94505.6829,0,0,0,0,0,0,0,0,0,0,0,0,1310.259417,0,0,0,0,0,0,0
514,0,0,0,0,0,0,103.0390922,0,0,0,0,0,390.4681976,0,0,0,0,0,0,0,0,0,0,0,0,0,2175.464624,0,0,0,276.3736488,0,0,0,0,0,0,0,0,10364.48252,0,1572.121217,171503.4335,0,0,0,0,0,0,107.3481685,0,13122.71496,87516.8531,0,215.3392026,0,324.1554259,0,0,0,0,0,0,0,0,115.9438189,0,0,0,0,0,0,0
521CI,0,0,0,0,0,0,1.85656022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702962.2528,25571.5776,0,0,0,0,64289.73476,0,2917.542257,1244.165304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
