industria_io,tipo,anno,K_corrente,K_2012,I_corrente,I_2012,D_corrente,D_2012,K_inizio_2012,altre_variazioni_2012,delta,altre_variazioni_rel
445,S,2013,164142,159675.3712,2470,2408.15648,4276,4163.598198,161453,-22.18704341,0.02578829875,-0.0001374210663
445,S,2014,167121,159028.0152,3680,3496.142672,4351,4131.972606,159675.3712,-11.52605615,0.02587733208,-7.218430782e-05
445,S,2015,169840,158657.7211,4034,3763.033022,4417,4117.311503,159028.0152,-16.01562952,0.02589047908,-0.000100709485
445,S,2016,173523,159465.3386,5383,4940.139965,4493,4121.290688,158657.7211,-11.23185706,0.02597598565,-7.079300636e-05
452,E,2011,39688,39877.62812,7521,7586.003502,5844,5906.152996,,,,
452,E,2012,41375,41375,7789,7789,6176,6176,39877.62812,-115.6281158,0.154873805,-0.002899573553
452,E,2013,43224,43109.17055,8180,8190.792112,6464,6450.980167,41375,-5.641395467,0.1559149285,-0.0001363479267
452,E,2014,44377,44177.90972,7694,7761.821304,6729,6678.106828,43109.17055,-14.9753067,0.1549115129,-0.0003473809983
452,E,2015,47414,48048.95185,10615,10984.1628,7091,7088.368687,44177.90972,-24.75197773,0.1604505223,-0.0005602795128
452,E,2016,48865,50216.32177,9086,9768.437766,7445,7565.902607,48048.95185,-35.16524266,0.1574623861,-0.0007318628463
452,N,2011,5601,5515.083357,3189,3101.650193,2195,2134.349039,,,,
452,N,2012,6402,6402,3579,3579,2678,2678,5515.083357,-14.08335652,0.4855774295,-0.002553607192
452,N,2013,7137,7115.510854,3780,3860.227755,3068,3138.227777,6402,-8.489124032,0.4901949043,-0.001326011252
452,N,2014,7536,7568.283663,3740,3880.301107,3283,3423.993099,7115.510854,-3.535198973,0.4812013037,-0.00049682996
452,N,2015,8723,8933.803531,4980,5296.33276,3661,3910.898309,7568.283663,-19.91458359,0.5167483783,-0.00263132098
452,N,2016,9432,9686.054202,4824,5214.03219,4081,4456.826224,8933.803531,-4.955294096,0.4988722003,-0.0005546679059
452,S,2011,154658,158662.3253,4883,5061.199261,3911,4053.605931,,,,
452,S,2012,158584,158584,4397,4397,4067,4067,158662.3253,-408.3253003,0.0256330543,-0.0025735492
452,S,2013,164176,159725.3424,5354,5208.162487,4195,4082.172451,158584,15.35235918,0.02574138911,9.680900457e-05
452,S,2014,169291,161120.5461,5783,5493.827327,4331,4114.294261,159725.3424,15.67059041,0.02575855653,9.810960601e-05
452,S,2015,174002,162595.0621,6012,5605.13051,4449,4150.866892,161120.5461,20.2524674,0.0257624927,0.000125697609
452,S,2016,178624,164249.2413,6349,5824.682779,4565,4190.107864,162595.0621,19.60425986,0.02577020365,0.0001205710653
481,E,2011,167682,169955.5743,12383,12651.27067,12701,12920.88388,,,,
481,E,2012,168829,168829,11964,11964,12934,12934,169955.5743,-156.5743138,0.07610224055,-0.0009212661275
481,E,2013,174087,171664.9766,16101,15893.02176,13207,13075.82238,168829,18.77719919,0.07745009671,0.000111220224
481,E,2014,182143,177040.3683,19376,18792.76468,13759,13457.69888,171664.9766,40.3259606,0.07839513422,0.0002349108211
481,E,2015,188262,182650.4362,20272,19469.31749,14306,13902.64102,177040.3683,43.3913627,0.07852808461,0.0002450930435
481,E,2016,194665,186896.0204,19366,18487.07976,14731,14271.79669,182650.4362,30.30114079,0.07813721659,0.0001658968981
481,N,2011,1918,1901.043095,784,766.5735735,741,727.4801305,,,,
481,N,2012,2089,2089,993,993,805,805,1901.043095,-0.04309523331,0.4234517366,-2.266925638e-05
481,N,2013,2393,2386.068958,1234,1249.584279,937,950.2107915,2089,-2.304529334,0.45486395,-0.001103173449
481,N,2014,2703,2719.860675,1427,1466.686818,1100,1129.420434,2386.068958,-3.474667573,0.4733393938,-0.001456230995
481,N,2015,2955,3011.051228,1528,1595.646687,1246,1301.36502,2719.860675,-3.091114677,0.4784675302,-0.001136497434
481,N,2016,3203,3293.434192,1640,1737.421163,1370,1452.945564,3011.051228,-2.09263571,0.4825376433,-0.0006949850904
481,S,2011,53798,55133.50897,513,521.2594901,1273,1303.285635,,,,
481,S,2012,54681,54681,890,890,1289,1289,55133.50897,-53.50896986,0.02337961113,-0.0009705344511
