,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
524,0,0,0,0,0,0,2.958286679e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001657120675,0.9886710682,0,0,0,0,0.0007468567143,0.004784380939,0.000714524188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,7.395716697e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8621003326,0,0,0,0,0.0001420883434,2.22575426e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS,0,0,0,0,0,0,0.01104994032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9961797605,0,0,0,7.104417171e-05,1.084341819e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,0,0,0,0,0,0,0.0003712649782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001631628568,0,0.0002695026639,0,0,0.9715470749,0,0,0.0002841766869,9.131299527e-05,0,0,0,0,0,0,0,0,0,0,0.0001641905406,0,0.0001387428343,0,0,0,0,0,0,0
532RL,0,0,0,0,0,0,2.662458011e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001142446001,0,0.008463403224,0.0002514461103,0,0,0,0.002666426336,0.0002393851581,0,0,0,0,0,0,0,0.0001387565677,4.76078868e-05,0.0007703193552,0,0,0.001672443013,0.784917369,0,0.0003441202067,3.709590433e-05,0,0,0,5.666236033e-06,0,0,0,0,0,0,0,0,0.00181273348,0,0,0,0,0,0,0
5411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9992531433,0.0006038754596,0.0001038685321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5415,0,0,0,0,0,0,2.218715009e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111703929,0,0,0,0.0006197615394,0,0,0,0,0,0,0,0,0.0231017073,0,0.0002283559111,0.06502424211,0,0,0,0,0,0,0.0005590161316,0,0.7841411648,0.00484700793,0,0.005141926069,0,0.0031135967,0,0,0,0,0,0,0,0,0.003184601879,0,0,0,0,0,0,0
5412OP,0,0,0,0,0,0,0.0002514543677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004528594199,0,0,0,0,0,0,0.002291876362,0.00356156298,0,0,0,0,0,0,0,0,0,0,0,0.09861587635,0,0.0008697594703,0,0,0,0,5.167376006e-05,0,0.02243441735,0.6684094132,0,0.002703932244,0,0,0,0,0,0,0,0,0,0,0.002230258645,0,0,0,0,0,0,0
55,0,0,0,0,0,0,4.585344352e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02209695753,0.002121315021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0.000656000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03019559356,0,0,0,0,0,0,0,0.001542911108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.274383172e-05,0,0,0.0002399834802,0.0002090438475,0,0.01917304584,0.01190321964,0,0.9781606511,0.001772356689,0.0002691462116,7.493322914e-06,0,0,0.0002151266289,0,0,0,0,0,0,0,0,0,0,0,0
562,0,0,0.0003635151919,0,0,0,2.070800675e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001463817731,0,0,0,0,0,0,0.0007348554928,0,0,0,0,0,0,0,0,0,0,0,0.0006975957609,0,0.0001132266487,5.02221474e-05,0,0,0.8413422648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08148981377,0
61,0,0,0,0,0,0,0.001192189532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001243064573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001112925981,0,0,6.139112284e-05,0.0001150915565,0,0.008598564908,0.01441832195,0,0,0,0.7295363886,0,0,0,0,0.009820809821,0,0.1230185187,0.0173430463,2.074659205e-05,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0.0002632875144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009972848542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004413408871,0,0.001567412038,5.30756785e-05,0,0,0,0,0.9598882424,0,0,0,0,0,0,0.0001660159176,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0.0006419482093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001370558376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001773349493,0,0.004859865371,0.003157717518,0,0,0,0,0.006311518843,0.7984823864,0,0,0,0,0,0.002354180605,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,1.109357505e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36099634e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001116202234,0,0,3.996234659e-05,3.994943543e-06,0,0,0,0,0.0006444257706,0,0.9908287492,0.001505886402,0,0,0,0.0005292537522,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,6.878016528e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002693545415,0.0002278361469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001864909507,3.994943543e-06,0,0,0,0,0.0002429977574,0,0.009171250789,0.9782829668,0,0,0,0,0,0,0,0,0,0,0,0
