industria_io,anno,x_corrente_use,x_corrente_make,indice_prezzo_2012,x_2012,fte_migliaia
315AL,2014,19000,18998,1.047287092,18157.84282,162
322,2014,185919,185919,1.041672447,178583.728,362
323,2014,82649,82647,1.010266416,81533.38845,440
324,2014,767437,767436,0.9142489291,834613.092,110
325,2014,828376,828378,1.021808884,810591.7251,791
326,2014,231470,231469,1.031207612,224507.892,665
42,2014,1857713,1857712,1.030690346,1802327.272,5633
441,2014,272191,272192,0.9887064205,271641.1199,1607
445,2014,220983,220984,1.053080482,209968.0384,2592
452,2014,221106,221107,1.006053658,219192.9247,2682
4A0,2014,860856,860854,1.040845989,827123.8123,6372
481,2014,216755,216755,1.028777823,210676.4134,427
482,2014,88947,88946,1.048659158,84813.09337,193
483,2014,54528,54528,1.027950639,52985.47068,65
484,2014,336371,336369,1.030160168,326487.1626,1367
485,2014,63061,63060,1.036125295,60860.70485,451
486,2014,42118,42118,1.07709935,39105.3764,44
487OS,2014,210856,210856,1.053138886,200421.8243,1165
493,2014,111195,111195,0.9888375275,112357.3748,708
511,2014,326161,326160,0.9886200207,327290.2762,680
512,2014,137246,137245,0.9921378029,138257.2914,326
513,2014,794702,794702,0.9987333816,792944.715,1110
514,2014,261656,261655,0.999071238,260424.4569,453
521CI,2014,874907,874907,1.105202663,794900.7774,2510
523,2014,541863,541863,1.167563084,466014.2255,859
524,2014,910672,910672,1.029508544,884577.4773,2400
525,2014,146056,146055,1.062163031,137513.82,6
HS,2014,1829125,1829125,1.05186645,1738811.048,
ORE,2014,1046978,1046979,1.037740446,1008825.7,1394
532RL,2014,341593,341591,1.022195831,334137.7749,512
5411,2014,316208,316209,1.071710118,295083.6616,1074
5415,2014,391479,391480,0.9771200495,399295.1331,1705
5412OP,2014,1210680,1210679,1.022200669,1185159.305,5215
55,2014,518680,518679,0.998816939,519425.8455,2004
561,2014,759078,759078,1.030450776,737264.2375,7525
562,2014,94109,94109,1.041277869,90389.7978,376
61,2014,329644,329645,1.048676164,315283.236,3083
621,2014,908309,908309,1.017763834,892274.0288,6004
622,2014,742577,742577,1.031813454,719877.4351,4499
623,2014,221232,221232,1.022817907,216283.9925,2968
624,2014,184593,184594,1.039239306,177665.1074,2970
711AS,2014,162433,162434,1.035841122,156867.9416,504
713,2014,130456,130457,1.035498432,125839.0589,1280
721,2014,244145,244144,1.048301196,233392.097,1709
722,2014,680436,680436,1.046655099,650104.7981,8407
81,2014,626463,626463,1.0407564,602076.4871,5897
GFGD,2014,623624,623625,1.020449812,611150.7441,1499
GFGN,2014,375356,375357,1.040062707,361275.454,2091
GFE,2014,98141,98140,1.081180851,91019.68091,545
GSLG,2014,2077352,2077352,1.056596215,1974686.571,14812
GSLE,2014,322640,322641,1.049801798,302067.6769,1084
111CA,2015,403163,403163,0.9222255887,436048.8367,700
113FF,2015,54733,54733,1.059322034,51657.45506,539
211,2015,241538,241539,0.599541409,385427.7226,193
212,2015,104439,104438,0.865773845,116082.9032,194
213,2015,135473,135474,1.037244993,130536.3462,353
22,2015,492325,492323,1.052328551,467807.517,547
23,2015,1395463,1395464,1.077261043,1295417.935,6378
321,2015,99807,99808,1.108713158,90208.27436,370
327,2015,118871,118871,1.092204131,109231.8949,389
331,2015,228390,228389,0.8661831074,263648.9986,386
332,2015,352974,352974,1.014601307,347947.8634,1429
333,2015,381938,381938,1.045528473,365714.0668,1100
334,2015,347454,347451,0.9578244843,357910.8663,1042
335,2015,127214,127213,0.9936731598,127921.5545,376
3361MV,2015,632678,632678,1.033500297,612077.7708,906
3364OT,2015,325332,325332,1.041582021,312476.085,685
337,2015,74780,74781,1.044065661,71616.70546,370
339,2015,166531,166532,1.025291849,162209.9672,573
311FT,2015,951586,951586,1.009014669,942669.7447,1674
313TT,2015,52779,52777,1.017335506,51987.21063,226
315AL,2015,18454,18454,1.054585591,17539.19044,160
322,2015,184503,184503,1.040082384,177498.468,364
323,2015,82410,82411,1.014270829,80757.59637,441
324,2015,500380,500379,0.6006787465,816583.04,109
325,2015,779773,779774,0.9713626792,798733.1198,797
326,2015,234098,234097,1.019544576,229500.9016,680
42,2015,1904906,1904907,1.037939195,1834793.204,5688
441,2015,305602,305600,0.9690677436,309351.7,1680
445,2015,231482,231481,1.101936565,211007.3652,2665
452,2015,228827,228829,1.005430192,226817.0894,2748
4A0,2015,916077,916075,1.05292238,869792.6879,6505
481,2015,220666,220668,0.9939605724,221836.6338,439
482,2015,82483,82484,1.013878978,81248.24659,196
483,2015,51721,51722,1.023357463,50448.54095,65
484,2015,337243,337243,1.013268415,332248.169,1402
485,2015,66925,66925,1.051433362,63650.92971,462
486,2015,44193,44193,1.073444321,41175.425,46
487OS,2015,222001,222000,1.060871743,209480.3452,1234
493,2015,112236,112236,1.002601468,111882.1372,791
