,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.04220493761,0.03777201815,0.02896781087,0.02906192887,0.03268883582,0.03492225918,0.03375223307,0.03092996729,0.02579805939,0.02643394052,0.02683818021,0.02663573241,0.02588003502,0.02620186058,0.02601966945,0.02613665231,0.02886033545,0.02722558883,0.02773860364,0.02776047129,0.02743410287,0.02748840141,0.02916571084,0.02759586892,0.02566670208,0.0273052664,0.03033492462,0.03167306043,0.03165068338,0.03693690973,0.03244363587,0.03338677882,0.03415384561,0.03532001888,0.03492600162,0.03680439945,0.03584257184,0.03388495666,0.03215074698,0.02750216925,0.07063943336,0.04844960114,0.02921257194,0.0338732552,0.03378888214,0.03458485962,0.03014697387,0,0.03761932337,0.03418905856,0.03583999687,0.02856106753,0.02751715736,0.03013486142,0.03119606751,0.03117202653,0.02823587615,0.03165406373,0.03192863313,0.03063982504,0.03430651311,0.04560978256,0.03455861071,0.03372922449,0.03515951983,0.0286464599,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,1.922425873e-06,1.72050734e-06,1.319477584e-06,1.323764638e-06,1.488969474e-06,1.590701429e-06,1.537406991e-06,1.408853389e-06,1.175096082e-06,1.204060332e-06,1.222473363e-06,1.213251909e-06,1.178830054e-06,1.19348914e-06,1.185190373e-06,1.190518917e-06,1.314582101e-06,1.240119743e-06,1.263487457e-06,1.264483524e-06,1.249617513e-06,1.2520908e-06,1.328491885e-06,1.256985922e-06,1.169112785e-06,1.243749039e-06,1.381749322e-06,1.442701122e-06,1.441681852e-06,1.682468331e-06,1.477800668e-06,1.520760628e-06,1.555700356e-06,1.608819299e-06,1.590871897e-06,1.676432516e-06,1.632621474e-06,1.543452522e-06,1.464459642e-06,1.252717921e-06,3.217611067e-06,2.20686896e-06,1.330626398e-06,1.542919523e-06,1.539076348e-06,1.575332951e-06,1.373188206e-06,0,1.713552126e-06,1.557304298e-06,1.632504185e-06,1.300950511e-06,1.253400627e-06,1.372636486e-06,1.420974197e-06,1.419879135e-06,1.286138114e-06,1.441835826e-06,1.454342404e-06,1.395637471e-06,1.562654328e-06,2.077515831e-06,1.574137319e-06,1.536358955e-06,1.601508601e-06,1.304840115e-06,0,0,0,0,0
452,0.0006247884086,0.0005591648856,0.0004288302147,0.0004302235075,0.0004839150789,0.0005169779645,0.0004996572719,0.0004578773513,0.0003819062268,0.0003913196078,0.000397303843,0.0003943068704,0.0003831197677,0.0003878839705,0.0003851868713,0.0003869186481,0.0004272391828,0.0004030389164,0.0004106334236,0.0004109571454,0.0004061256916,0.0004069295099,0.0004317598626,0.0004085204245,0.0003799616551,0.0004042184376,0.0004490685297,0.0004688778646,0.0004685466019,0.0005468022075,0.0004802852172,0.000494247204,0.0005056026156,0.0005228662721,0.0005170333664,0.0005448405676,0.000530601979,0.0005016220695,0.0004759493836,0.0004071333245,0.001045723597,0.0007172324119,0.0004324535793,0.0005014488449,0.000500199813,0.0005119832092,0.0004462861669,0,0.0005569044409,0.0005061238969,0.00053056386,0.0004228089162,0.0004073552037,0.000446106858,0.0004618166139,0.0004614607189,0.000417994887,0.0004685966436,0.0004726612811,0.000453582178,0.0005078626565,0.0006751926451,0.0005115946288,0.0004993166603,0.0005204902954,0.0004240730375,0,0,0,0,0
4A0,0.01006582187,0.009008576433,0.006908784628,0.006931231647,0.007796244164,0.008328912683,0.008049863003,0.007376756343,0.006152803087,0.006304459896,0.006400870529,0.006352586996,0.006172354165,0.006249109137,0.006205656794,0.006233557051,0.006883151881,0.006493266974,0.006615620326,0.006620835733,0.006542997296,0.006555947427,0.00695598351,0.006581578286,0.006121474542,0.006512269967,0.007234839451,0.007553983074,0.007548646176,0.008809404179,0.007737764299,0.007962702646,0.008145647062,0.008423777848,0.008329805251,0.008777800653,0.008548406037,0.008081517403,0.007667910684,0.006559231037,0.01684741154,0.01155516587,0.006967159819,0.008078726621,0.008058603756,0.008248443334,0.007190013446,0,0.00897215893,0.008154045305,0.008547791911,0.006811776877,0.006562805682,0.007187124642,0.007440220893,0.007434487152,0.006734219165,0.007549452387,0.007614936825,0.007307557797,0.00818205806,0.01087787289,0.008242183004,0.008044375487,0.008385499036,0.006832142845,0,0,0,0,0
481,6.151762792e-05,5.505623489e-05,4.222328268e-05,4.236046843e-05,4.764702316e-05,5.090244574e-05,4.91970237e-05,4.508330844e-05,3.760307463e-05,3.852993061e-05,3.911914762e-05,3.882406109e-05,3.772256174e-05,3.819165248e-05,3.792609194e-05,3.809660536e-05,4.206662723e-05,3.968383177e-05,4.043159863e-05,4.046347277e-05,3.99877604e-05,4.006690559e-05,4.251174032e-05,4.022354949e-05,3.741160912e-05,3.979996924e-05,4.421597831e-05,4.61664359e-05,4.613381926e-05,5.383898658e-05,4.728962138e-05,4.866434008e-05,4.978241138e-05,5.148221756e-05,5.090790069e-05,5.36458405e-05,5.224388716e-05,4.939048069e-05,4.686270854e-05,4.008697349e-05,0.0001029635541,7.061980671e-05,4.258004473e-05,4.937342473e-05,4.925044312e-05,5.041065445e-05,4.394202259e-05,0,5.483366802e-05,4.983373754e-05,5.224013391e-05,4.163041636e-05,4.010882006e-05,4.392436756e-05,4.547117429e-05,4.543613232e-05,4.115641965e-05,4.613874644e-05,4.653895691e-05,4.466039907e-05,5.000493849e-05,6.64805066e-05,5.037239422e-05,4.916348655e-05,5.124827524e-05,4.17548837e-05,0,0,0,0,0
